review_id,aspect,sentiment_label,sentiment_score,aspect_cluster,mapped_aspect
5400,experience,positive,0.9966912,3,Atmosphere
5400,traveler,positive,0.9948165,1,Amenities
5400,place,positive,0.9968652,3,Location
5400,price,positive,0.9959552,2,Worth
5401,location,positive,0.9966054,4,Location
5401,spot,positive,0.997948,4,Location
5401,place,positive,0.99801034,3,Location
5401,hotel,positive,0.9337476,4,Location
5402,bathroom,positive,0.9947679,0,Amenities
5402,location,positive,0.99235064,4,Location
5402,accommodation,positive,0.99762625,4,Amenities
5403,hotel,positive,0.9841807,4,Location
5404,color,positive,0.8059537,2,Location
5404,accommodation,positive,0.9510462,4,Amenities
5404,hotel,positive,0.8945689,4,Location
5404,concept,positive,0.71983236,2,Location
5405,place,positive,0.9983084,3,Location
5405,price,positive,0.9976548,2,Worth
5406,concept,positive,0.99462056,2,Location
5406,light,positive,0.9967405,4,Atmosphere
5406,speaker,neutral,0.97142583,3,Service
5406,hotel,positive,0.8170032,4,Location
5407,price,positive,0.98177433,2,Worth
5407,bed,positive,0.9975078,0,Amenities
5408,people,positive,0.99579334,3,Food
5408,process,positive,0.99525154,3,Atmosphere
5408,hotel,positive,0.9957984,4,Location
5408,check,positive,0.9956049,2,Food
5408,spot,positive,0.99549747,4,Location
5408,branch,positive,0.99528825,4,Service
5408,service,positive,0.99647814,2,Service
5408,level,positive,0.99607277,3,Atmosphere
5409,place,positive,0.9899873,3,Location
5410,budget,negative,0.6992551,3,Worth
5410,hotel,positive,0.9937936,4,Location
5411,toilet,positive,0.9828273,0,Hygiene
5412,toilet,positive,0.99162173,0,Hygiene
5414,service,positive,0.9972799,2,Service
5415,room,positive,0.9986613,4,Location
5415,staff,positive,0.9976319,3,Service
5416,technology,positive,0.99608755,2,Service
5416,location,positive,0.99743986,4,Location
5416,success,positive,0.9958902,3,Service
